model,shots,degradation,seed,lr,accuracy,f1,train_time_sec,num_params
vit,full,none,7,0.0001,0.9762962962962963,0.97539994752357,151.8,5526346
vit,full,none,2024,0.0001,0.9855555555555555,0.9852239135805407,151.8,5526346
vit,full,none,99,0.0001,0.9685185185185186,0.9673339070984648,151.9,5526346
vit,full,none,17,0.0001,0.9766666666666667,0.9763542904207902,151.6,5526346
vit,full,none,256,0.0001,0.9683333333333334,0.9686788177264477,151.6,5526346
vit,full,none,512,0.0001,0.9618518518518518,0.9597760794230833,152.0,5526346
vit,full,none,88,0.0001,0.9792592592592593,0.9784403311410035,151.7,5526346
vit,full,none,314,0.0001,0.980925925925926,0.9802993975863084,151.8,5526346
vit,full,moderate,42,0.0001,0.9687037037037037,0.9678069610301687,184.8,5526346
vit,full,moderate,123,0.0001,0.9794444444444445,0.9786207812783754,185.2,5526346
vit,full,moderate,7,0.0001,0.975925925925926,0.9748426452348692,185.4,5526346
vit,full,moderate,2024,0.0001,0.9716666666666667,0.9702977247276967,187.7,5526346
vit,full,moderate,99,0.0001,0.9662962962962963,0.9651302518210343,185.5,5526346
vit,full,moderate,17,0.0001,0.9729629629629629,0.9722887195230825,186.6,5526346
vit,full,moderate,256,0.0001,0.9790740740740741,0.978549477452572,184.0,5526346
vit,full,moderate,512,0.0001,0.9775925925925926,0.9767639516957848,185.8,5526346
vit,full,moderate,88,0.0001,0.9787037037037037,0.9779193025215859,186.0,5526346
vit,full,moderate,314,0.0001,0.9688888888888889,0.9673164266684514,185.3,5526346
vit,full,severe,42,0.0001,0.9735185185185186,0.9730546235950849,185.9,5526346
vit,full,severe,123,0.0001,0.9629629629629629,0.962662528362564,184.6,5526346
vit,full,severe,7,0.0001,0.970925925925926,0.9700860911655889,183.2,5526346
vit,full,severe,2024,0.0001,0.9740740740740741,0.9732184429647793,185.4,5526346
vit,full,severe,99,0.0001,0.9698148148148148,0.969024104629405,184.0,5526346
vit,full,severe,17,0.0001,0.9679629629629629,0.9672099145062181,185.6,5526346
vit,full,severe,256,0.0001,0.970925925925926,0.970863691614998,184.9,5526346
vit,full,severe,512,0.0001,0.9690740740740741,0.9680078262893698,185.9,5526346
