model,shots,train_degradation,test_degradation,seed,lr,accuracy,f1,train_time_sec,num_params
small_cnn,5,mixed,moderate,17,0.001,0.31925925925925924,0.30301761157212004,0.5,549290
small_cnn,5,mixed,severe,17,0.001,0.32,0.29905547144051425,0.5,549290
small_cnn,5,mixed,none,256,0.001,0.29074074074074074,0.2789766483030242,0.5,549290
small_cnn,5,mixed,moderate,256,0.001,0.28296296296296297,0.2705685599636375,0.5,549290
small_cnn,5,mixed,severe,256,0.001,0.26166666666666666,0.23843587664687654,0.5,549290
small_cnn,5,mixed,none,512,0.001,0.30037037037037034,0.2782079775162581,0.4,549290
small_cnn,5,mixed,moderate,512,0.001,0.2987037037037037,0.27414579288150825,0.4,549290
small_cnn,5,mixed,severe,512,0.001,0.2961111111111111,0.26564380200348303,0.4,549290
small_cnn,5,mixed,none,88,0.001,0.2538888888888889,0.23748679197864778,0.4,549290
small_cnn,5,mixed,moderate,88,0.001,0.2574074074074074,0.2415255117747624,0.4,549290
small_cnn,5,mixed,severe,88,0.001,0.23666666666666666,0.21976949264501983,0.4,549290
small_cnn,5,mixed,none,314,0.001,0.3111111111111111,0.2883542594245152,0.4,549290
small_cnn,5,mixed,moderate,314,0.001,0.3061111111111111,0.2845069800965849,0.4,549290
small_cnn,5,mixed,severe,314,0.001,0.30518518518518517,0.2876902894578488,0.4,549290
small_cnn,full,none,none,42,0.001,0.8146296296296296,0.8035514747026816,23.3,549290
small_cnn,full,none,moderate,42,0.001,0.5655555555555556,0.5365303676525561,23.3,549290
small_cnn,full,none,severe,42,0.001,0.20166666666666666,0.1510358709312238,23.3,549290
small_cnn,full,none,none,123,0.001,0.8525925925925926,0.847348983816682,22.5,549290
small_cnn,full,none,moderate,123,0.001,0.6718518518518518,0.6450378272719395,22.5,549290
small_cnn,full,none,severe,123,0.001,0.20722222222222222,0.15863151347488105,22.5,549290
small_cnn,full,none,none,7,0.001,0.7842592592592592,0.7761877954531935,23.0,549290
