model,shots,degradation,seed,accuracy,f1,train_time_sec,num_params
mobilenet,5,severe,88,0.6090740740740741,0.5994681872365376,3.2,2236682
mobilenet,5,severe,314,0.5827777777777777,0.5698379491866994,3.2,2236682
mobilenet,10,none,42,0.5477777777777778,0.5316574325616006,3.8,2236682
mobilenet,10,none,123,0.6592592592592592,0.624035131659485,3.7,2236682
mobilenet,10,none,7,0.6461111111111111,0.626468362288023,4.0,2236682
mobilenet,10,none,2024,0.6331481481481481,0.5955354290520308,3.9,2236682
mobilenet,10,none,99,0.6705555555555556,0.6617673280152354,3.8,2236682
mobilenet,10,none,17,0.5587037037037037,0.5414095166746528,3.9,2236682
mobilenet,10,none,256,0.6168518518518519,0.6049766534477025,3.8,2236682
mobilenet,10,none,512,0.6672222222222223,0.6573856633787144,3.8,2236682
mobilenet,10,none,88,0.5577777777777778,0.5205659952438402,3.8,2236682
mobilenet,10,none,314,0.6368518518518519,0.6272549179120295,3.9,2236682
mobilenet,10,moderate,42,0.6761111111111111,0.6513656855342458,5.0,2236682
mobilenet,10,moderate,123,0.6516666666666666,0.6342359807889356,5.0,2236682
mobilenet,10,moderate,7,0.7357407407407407,0.7187732297886542,4.9,2236682
mobilenet,10,moderate,2024,0.6151851851851852,0.5956927438589205,4.9,2236682
mobilenet,10,moderate,99,0.6109259259259259,0.5891453375271786,5.0,2236682
mobilenet,10,moderate,17,0.6611111111111111,0.6476095811782422,4.9,2236682
mobilenet,10,moderate,256,0.7192592592592593,0.6972710719417343,5.0,2236682
mobilenet,10,moderate,512,0.6216666666666667,0.6107577417236226,4.9,2236682
mobilenet,10,moderate,88,0.6288888888888889,0.6061260059774438,4.9,2236682
mobilenet,10,moderate,314,0.6675925925925926,0.6507486163801519,4.9,2236682
mobilenet,10,severe,42,0.6203703703703703,0.5944964131716379,5.0,2236682
mobilenet,10,severe,123,0.6338888888888888,0.6297172757052817,4.9,2236682
mobilenet,10,severe,7,0.6125925925925926,0.6080711022282271,5.0,2236682
mobilenet,10,severe,2024,0.6568518518518518,0.6418753070572946,4.9,2236682
mobilenet,10,severe,99,0.6133333333333333,0.6004481632083835,4.9,2236682
mobilenet,10,severe,17,0.6042592592592593,0.5857677448378474,4.8,2236682
mobilenet,10,severe,256,0.6838888888888889,0.6636850389165809,5.0,2236682
mobilenet,10,severe,512,0.6246296296296296,0.6099015445666983,4.9,2236682
mobilenet,10,severe,88,0.5925925925925926,0.5851004030644058,4.9,2236682
mobilenet,10,severe,314,0.6461111111111111,0.641315949253183,4.8,2236682
mobilenet,50,none,42,0.8707407407407407,0.8659704570648514,7.3,2236682
mobilenet,50,none,123,0.822962962962963,0.8175295108734039,7.3,2236682
mobilenet,50,none,7,0.8429629629629629,0.8378804080165334,7.2,2236682
mobilenet,50,none,2024,0.8540740740740741,0.8500347986120025,7.2,2236682
mobilenet,50,none,99,0.8479629629629629,0.8448746525905451,7.1,2236682
mobilenet,50,none,17,0.8833333333333333,0.8787549268057127,7.2,2236682
mobilenet,50,none,256,0.8955555555555555,0.892391622303341,7.1,2236682
mobilenet,50,none,512,0.8674074074074074,0.862335381416452,7.2,2236682
mobilenet,50,none,88,0.8714814814814815,0.866678316601455,7.3,2236682
mobilenet,50,none,314,0.8824074074074074,0.8788401346106107,7.2,2236682
mobilenet,50,moderate,42,0.8735185185185185,0.8692092650170451,9.6,2236682
mobilenet,50,moderate,123,0.8583333333333333,0.8532610015999822,9.6,2236682
mobilenet,50,moderate,7,0.8248148148148148,0.8201561557103727,9.7,2236682
mobilenet,50,moderate,2024,0.8490740740740741,0.8429184316102807,9.7,2236682
mobilenet,50,moderate,99,0.8637037037037038,0.8575022339718856,9.7,2236682
mobilenet,50,moderate,17,0.867037037037037,0.8649387544823236,9.7,2236682
mobilenet,50,moderate,256,0.8681481481481481,0.8614925491154979,9.5,2236682
